Acceleration   Speed          Height         Time           
3.5139         0.07027779714  0.001406       0.02           
3.5167         0.1406113393   0.004218       0.04           
3.5195         0.21100065     0.008438       0.06           
3.5223         0.2814457526   0.01407        0.08           
3.525          0.3519466704   0.02111        0.1            
3.5278         0.4225034271   0.02956        0.12           
3.5306         0.4931160459   0.03942        0.14           
3.5334         0.5637845504   0.05069        0.16           
3.5362         0.6345089641   0.06338        0.18           
3.539          0.7052893104   0.07749        0.2            
3.5418         0.7761256129   0.09301        0.22           
3.5446         0.8470178951   0.11           0.24           
3.5474         0.9179661806   0.1283         0.26           
3.5502         0.9889704929   0.1481         0.28           
3.553          1.060030856    0.1693         0.3            
3.5558         1.131147292    0.1919         0.32           
3.5586         1.202319827    0.216          0.34           
3.5614         1.273548482    0.2414         0.36           
3.5642         1.344833282    0.2683         0.38           
3.567          1.416174251    0.2967         0.4            
3.5699         1.487571412    0.3264         0.42           
3.5727         1.559024789    0.3576         0.44           
3.5755         1.630534405    0.3902         0.46           
3.5783         1.702100285    0.4242         0.48           
3.5811         1.773722451    0.4597         0.5            
3.5839         1.845400929    0.4966         0.52           
3.5867         1.91713574     0.535          0.54           
3.5896         1.98892691     0.5747         0.56           
3.5924         2.060774462    0.616          0.58           
3.5952         2.13267842     0.6586         0.6            
3.598          2.204638807    0.7027         0.62           
3.6008         2.276655648    0.7482         0.64           
3.6037         2.348728966    0.7952         0.66           
3.6065         2.420858785    0.8436         0.68           
3.6093         2.493045129    0.8935         0.7            
3.6121         2.565288023    0.9448         0.72           
3.615          2.637587489    0.9975         0.74           
3.6178         2.709943551    1.052          0.76           
3.6206         2.782356235    1.107          0.78           
3.6235         2.854825563    1.164          0.8            
3.6263         2.927351559    1.223          0.82           
3.6291         2.999934249    1.283          0.84           
3.632          3.072573654    1.344          0.86           
3.6348         3.145269801    1.407          0.88           
3.6376         3.218022712    1.472          0.9            
3.6405         3.290832411    1.538          0.92           
3.6433         3.363698923    1.605          0.94           
3.6462         3.436622272    1.674          0.96           
3.649          3.509602482    1.744          0.98           
3.6519         3.582639577    1.815          1              
3.6547         3.655733581    1.889          1.02           
3.6575         3.728884518    1.963          1.04           
3.6604         3.802092413    2.039          1.06           
3.6632         3.875357289    2.117          1.08           
3.6661         3.948679171    2.196          1.1            
3.6689         4.022058082    2.276          1.12           
3.6718         4.095494048    2.358          1.14           
3.6747         4.168987092    2.441          1.16           
3.6775         4.242537239    2.526          1.18           
3.6804         4.316144512    2.613          1.2            
3.6832         4.389808936    2.7            1.22           
3.6861         4.463530536    2.79           1.24           
3.6889         4.537309336    2.88           1.26           
3.6918         4.611145359    2.973          1.28           
3.6947         4.685038631    3.066          1.3            
3.6975         4.758989176    3.161          1.32           
3.7004         4.832997018    3.258          1.34           
3.7033         4.907062181    3.356          1.36           
3.7061         4.981184689    3.456          1.38           
3.709          5.055364569    3.557          1.4            
3.7119         5.129601842    3.66           1.42           
3.7147         5.203896535    3.764          1.44           
3.7176         5.278248671    3.869          1.46           
3.7205         5.352658276    3.976          1.48           
3.7234         5.427125373    4.085          1.5            
3.7262         5.501649987    4.195          1.52           
3.7291         5.576232142    4.306          1.54           
3.732          5.650871864    4.419          1.56           
3.7349         5.725569176    4.534          1.58           
3.7377         5.800324103    4.65           1.6            
3.7406         5.87513667     4.767          1.62           
3.7435         5.950006902    4.886          1.64           
3.7464         6.024934822    5.007          1.66           
3.7493         6.099920456    5.129          1.68           
3.7522         6.174963828    5.252          1.7            
3.7551         6.250064964    5.377          1.72           
3.7579         6.325223886    5.504          1.74           
3.7608         6.400440621    5.632          1.76           
3.7637         6.475715193    5.761          1.78           
3.7666         6.551047627    5.892          1.8            
3.7695         6.626437947    6.025          1.82           
3.7724         6.701886179    6.159          1.84           
3.7753         6.777392346    6.295          1.86           
3.7782         6.852956474    6.432          1.88           
3.7811         6.928578588    6.57           1.9            
3.784          7.004258712    6.71           1.92           
3.7869         7.079996871    6.852          1.94           
3.7898         7.155793091    6.995          1.96           
3.7927         7.231647395    7.14           1.98           
3.7956         7.307559809    7.286          2              
3.7985         7.383530358    7.433          2.02           
3.8014         7.459559066    7.583          2.04           
3.8043         7.535645959    7.733          2.06           
